date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:03:14	299/299	---MCZ	200	added ('OK')	text/plain	etag:W/%221ee-AhSt9a/nH0jWV9naiAmIsFLIpU8%22	https://www.aikido-unite.com/robots.txt		(from )
01:03:15	676254/676254	---MCZ	200	added ('OK')	text/html	etag:W/%222fd373ead7c5ff7d077a0657a611bc3e%22	https://www.aikido-unite.com/	D:/AikidoUnite/SiteAikidoUnite/www.aikido-unite.com/index.html	(from )
01:03:16	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22b53ce85a6cce2ae00037a6ca13c90866%22	https://static.parastorage.com/client/pfavico.ico	D:/AikidoUnite/SiteAikidoUnite/static.parastorage.com/client/pfavico.ico	(from https://www.aikido-unite.com/)
01:03:16	432253/432253	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	D:/AikidoUnite/SiteAikidoUnite/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://www.aikido-unite.com/)
01:03:17	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	D:/AikidoUnite/SiteAikidoUnite/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.aikido-unite.com/)
01:03:17	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	D:/AikidoUnite/SiteAikidoUnite/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.aikido-unite.com/)
01:03:18	2203/2203	---MCZ	400	error ('Bad%20Request')	text/html	date:Tue,%2028%20Jul%202026%2023:03:17%20GMT	https://www.aikido-unite.com/O,location.href	D:/AikidoUnite/SiteAikidoUnite/www.aikido-unite.com/O,location.4.delayed	(from https://www.aikido-unite.com/)
01:03:18	2206/2206	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jul%202026%2023:03:18%20GMT	https://www.aikido-unite.com/e	D:/AikidoUnite/SiteAikidoUnite/www.aikido-unite.com/e.5.delayed	(from https://www.aikido-unite.com/)
01:03:18	2206/2206	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jul%202026%2023:03:18%20GMT	https://www.aikido-unite.com/t	D:/AikidoUnite/SiteAikidoUnite/www.aikido-unite.com/t.6.delayed	(from https://www.aikido-unite.com/)
01:03:19	2349/2349	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Jul%202026%2022:13:39%20GMT	https://static.wixstatic.com/media/93910a_a6445e5581ea454f88d687fe305ceb4d~mv2.png/v1/fill/w_42,h_40,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/logo_aikido_unite.png	D:/AikidoUnite/SiteAikidoUnite/static.wixstatic.com/media/93910a_a6445e5581ea454f88d687fe305ceb4d_mv2.png/v1/fill/w_42,h_40,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/logo_aikido_unite.png	(from https://www.aikido-unite.com/)
01:03:20	458050/458050	---MCZ	200	added ('OK')	text/html	etag:W/%226535618e124cbb3f4fbb37dbd94938ec%22	https://www.aikido-unite.com/l-a%c3%afkido	D:/AikidoUnite/SiteAikidoUnite/www.aikido-unite.com/l-a%c3%afkido.html	(from https://www.aikido-unite.com/)
01:03:21	474009/474009	---MCZ	200	added ('OK')	text/html	etag:W/%22386e68acd442944fc6c812938ab72748%22	https://www.aikido-unite.com/les-cours	D:/AikidoUnite/SiteAikidoUnite/www.aikido-unite.com/les-cours.html	(from https://www.aikido-unite.com/)
01:03:22	479215/479215	---MCZ	200	added ('OK')	text/html	etag:W/%2219e95e91373eef41c393be52415b6a07%22	https://www.aikido-unite.com/inscriptions	D:/AikidoUnite/SiteAikidoUnite/www.aikido-unite.com/inscriptions.html	(from https://www.aikido-unite.com/)
01:03:24	477475/477475	---MCZ	200	added ('OK')	text/html	etag:W/%222eb2988d44fcf17692a69117d7b31512%22	https://www.aikido-unite.com/prepa-ceintures	D:/AikidoUnite/SiteAikidoUnite/www.aikido-unite.com/prepa-ceintures.html	(from https://www.aikido-unite.com/)
01:03:25	467339/467339	---MCZ	200	added ('OK')	text/html	etag:W/%22d1902e8d1d9d3bd12617a81f3bb594c4%22	https://www.aikido-unite.com/stages	D:/AikidoUnite/SiteAikidoUnite/www.aikido-unite.com/stages.html	(from https://www.aikido-unite.com/)
01:03:25	1174/1174	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Jul%202026%2022:13:48%20GMT	https://static.wixstatic.com/media/8d6893330740455c96d218258a458aa4.png/v1/fill/w_25,h_25,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/8d6893330740455c96d218258a458aa4.png	D:/AikidoUnite/SiteAikidoUnite/static.wixstatic.com/media/8d6893330740455c96d218258a458aa4.png/v1/fill/w_25,h_25,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/8d6893330740455c96d218258a458aa4.png	(from https://www.aikido-unite.com/)
01:03:26	497065/497065	---MCZ	200	added ('OK')	text/html	etag:W/%22a455557e02c022ed7f5500c9a4e65ac1%22	https://www.aikido-unite.com/contact-3	D:/AikidoUnite/SiteAikidoUnite/www.aikido-unite.com/contact-3.html	(from https://www.aikido-unite.com/)
01:03:26	1198/1198	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Jul%202026%2022:13:48%20GMT	https://static.wixstatic.com/media/e316f544f9094143b9eac01f1f19e697.png/v1/fill/w_25,h_25,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/e316f544f9094143b9eac01f1f19e697.png	D:/AikidoUnite/SiteAikidoUnite/static.wixstatic.com/media/e316f544f9094143b9eac01f1f19e697.png/v1/fill/w_25,h_25,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/e316f544f9094143b9eac01f1f19e697.png	(from https://www.aikido-unite.com/)
01:03:27	1543/1543	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Jul%202026%2022:13:50%20GMT	https://static.wixstatic.com/media/a1b09fe8b7f04378a9fe076748ad4a6a.png/v1/fill/w_25,h_25,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/a1b09fe8b7f04378a9fe076748ad4a6a.png	D:/AikidoUnite/SiteAikidoUnite/static.wixstatic.com/media/a1b09fe8b7f04378a9fe076748ad4a6a.png/v1/fill/w_25,h_25,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/a1b09fe8b7f04378a9fe076748ad4a6a.png	(from https://www.aikido-unite.com/)
01:03:27	1263/1263	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Jul%202026%2022:13:50%20GMT	https://static.wixstatic.com/media/11062b_7a80704b0d4547c4a6a39347d587411d~mv2.png/v1/fill/w_25,h_25,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/11062b_7a80704b0d4547c4a6a39347d587411d~mv2.png	D:/AikidoUnite/SiteAikidoUnite/static.wixstatic.com/media/11062b_7a80704b0d4547c4a6a39347d587411d_mv2.png/v1/fill/w_25,h_25,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/11062b_7a80704b0d4547c4a6a39347d587411d_mv2.png	(from https://www.aikido-unite.com/)
01:03:27	13390/13390	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Jul%202026%2022:13:51%20GMT	https://static.wixstatic.com/media/93910a_a230f37cfb8f4df1aa16e18d5099173d~mv2.jpg/v1/fill/w_222,h_274,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/morihei%20ueshiba_jfif.jpg	D:/AikidoUnite/SiteAikidoUnite/static.wixstatic.com/media/93910a_a230f37cfb8f4df1aa16e18d5099173d_mv2.jpg/v1/fill/w_222,h_274,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/morihei%20ueshiba_jfif.jpg	(from https://www.aikido-unite.com/)
01:03:28	735222/735222	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Jul%202026%2022:13:50%20GMT	https://static.wixstatic.com/media/93910a_6d387e8c5e19446db56ab64ce80dbeb2~mv2.png/v1/fill/w_528,h_754,al_c,q_90,enc_avif,quality_auto/Flyer-aikido-unite-2025-2026.png	D:/AikidoUnite/SiteAikidoUnite/static.wixstatic.com/media/93910a_6d387e8c5e19446db56ab64ce80dbeb2_mv2.png/v1/fill/w_528,h_754,al_c,q_90,enc_avif,quality_auto/Flyer-aikido-unite-2025-2026.png	(from https://www.aikido-unite.com/)
